"Name","Enabled","DistinguishedName","OperatingSystemName"
"HSHSTADB3E9","True","CN=HSHSTADB3E9,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3DF","True","CN=HSHSTADB3DF,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB409","True","CN=HSHSTADB409,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3DB","True","CN=HSHSTADB3DB,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB885","True","CN=HSHSTADB885,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABD83B","True","CN=HSHSTABD83B,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB41B","True","CN=HSHSTADB41B,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB881","True","CN=HSHSTADB881,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTA725CF","True","CN=HSHSTA725CF,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABD835","True","CN=HSHSTABD835,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB425","True","CN=HSHSTADB425,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB44B","True","CN=HSHSTADB44B,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3F7","True","CN=HSHSTADB3F7,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-HSTADB899","True","CN=HS-HSTADB899,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB477","True","CN=HSHSTADB477,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB419","True","CN=HSHSTADB419,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HS-HSTAD415","True","CN=HS-HSTAD415,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB8C5","True","CN=HSHSTADB8C5,OU=SON,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"TECHLORI","True","CN=TECHLORI,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB8B7","True","CN=HSHSTADB8B7,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB839","True","CN=HSHSTADB839,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB78D","True","CN=HSHSTADB78D,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB427","True","CN=HSHSTADB427,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB411","True","CN=HSHSTADB411,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3E3","True","CN=HSHSTADB3E3,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3CF","True","CN=HSHSTADB3CF,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABCE33","True","CN=HSHSTABCE33,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABCE45","True","CN=HSHSTABCE45,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB441","True","CN=HSHSTADB441,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB887","True","CN=HSHSTADB887,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3FB","True","CN=HSHSTADB3FB,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3FD","True","CN=HSHSTADB3FD,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSOBGYN2587","False","CN=HSOBGYN2587,OU=OBGYN,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB863","True","CN=HSHSTADB863,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABCE47","True","CN=HSHSTABCE47,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB7F7","True","CN=HSHSTADB7F7,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSNURSAF53","True","CN=HSNURSAF53,OU=SON,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSCEMMEDSURFACE","True","CN=HSCEMMEDSURFACE,OU=Emergency Medicine,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB413","True","CN=HSHSTADB413,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3E1","True","CN=HSHSTADB3E1,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABD831","True","CN=HSHSTABD831,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABD83D","True","CN=HSHSTABD83D,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB401","True","CN=HSHSTADB401,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTA54F07","True","CN=HSHSTA54F07,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB3FF","True","CN=HSHSTADB3FF,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTABCE3B","True","CN=HSHSTABCE3B,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"WINDOWSVM","True","CN=WINDOWSVM,OU=Other Computers,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"SHEPPY","True","CN=SHEPPY,OU=Other Computers,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSCEMMED3757","False","CN=HSCEMMED3757,OU=Emergency Medicine,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"cscott-ws-win8","True","CN=cscott-ws-win8,OU=Networking,OU=ITS,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"SKANOSKY-LAPTOP","True","CN=SKANOSKY-LAPTOP,OU=Pediatrics,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"RDTP-BX8RSM1","True","CN=RDTP-BX8RSM1,OU=RDTP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSALUMAFDF61","True","CN=HSALUMAFDF61,OU=Alumni,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSPATH7E3E7","True","CN=HSPATH7E3E7,OU=Pathology,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSSPHOHSRMSS2","True","CN=HSSPHOHSRMSS2,OU=OHSR,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB41F","True","CN=HSHSTADB41F,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"TSE-LAB","True","CN=TSE-LAB,OU=MBRCC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"PT-MBA","True","CN=PT-MBA,OU=Human Performance,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSHSTADB795","True","CN=HSHSTADB795,OU=HSTA,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"HSCEDEE46","True","CN=HSCEDEE46,OU=CED,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"SPH-SHAFFRON","True","CN=SPH-SHAFFRON,OU=SPH,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"RDTP-9D91GK1","True","CN=RDTP-9D91GK1,OU=RDTP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"RDTP-6WZMHL1","True","CN=RDTP-6WZMHL1,OU=RDTP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
"RDTP-GYDSFZ1","True","CN=RDTP-GYDSFZ1,OU=RDTP,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection"
