"PrinterName","whenCreated","whenChanged","SamAccountName","distinguishedName"
"RICOH Aficio 3260C RPCS Group","10/7/2008 10:27:10 AM","2/18/2021 9:29:06 AM","RICOH Aficio 3260C RPCS Group","CN=RICOH Aficio 3260C RPCS Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2038-hp2025dn Group","3/17/2009 4:38:41 PM","2/18/2021 9:29:05 AM","2038-hp2025dn Group","CN=2038-hp2025dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"b14-hp2025n Group","5/7/2009 3:55:39 PM","2/18/2021 9:29:06 AM","b14-hp2025n Group","CN=b14-hp2025n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"brother-4096 Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","brother-4096","CN=brother-4096 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2306-hp2200 Group","5/12/2009 2:29:07 PM","2/18/2021 9:29:05 AM","2306-hp2200  Group","CN=2306-hp2200 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4506-star800 Group","5/12/2009 2:31:57 PM","2/18/2021 9:29:05 AM","4506-star800 Group","CN=4506-star800 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4514_peds_hplj4050 Group","5/12/2009 2:32:18 PM","2/18/2021 9:29:05 AM","4514_peds_hplj4050 Group","CN=4514_peds_hplj4050 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4612-hplj2500n Group","5/12/2009 2:33:06 PM","2/18/2021 9:29:05 AM","4612-hplj2500n Group","CN=4612-hplj2500n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4621-hplj4 Group","5/12/2009 2:33:23 PM","2/18/2021 9:29:05 AM","4621-hplj4 Group","CN=4621-hplj4 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4716-lex-c510 Group","5/12/2009 2:34:05 PM","2/18/2021 9:29:05 AM","4716-lex-c510 Group","CN=4716-lex-c510 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4718-hp2200 Group","5/12/2009 2:34:20 PM","2/18/2021 9:29:05 AM","4718-hp2200 Group","CN=4718-hp2200 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"hp1320-2350L Group","5/12/2009 2:34:53 PM","2/18/2021 9:29:06 AM","hp1320-2350L Group","CN=hp1320-2350L Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"2244-ricoh-mp-c4500 Group","2/26/2014 2:02:00 PM","9/7/2021 10:07:56 AM","2244-ricoh-mp-c4500 Group","CN=2244-ricoh-mp-c4500 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1001-hpoj7210 Group","9/3/2008 3:02:51 PM","2/18/2021 9:29:05 AM","1001-hpoj7210","CN=1001-hpoj7210 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"G111-hpoj8500 Group","9/21/2009 2:11:02 PM","2/18/2021 9:29:06 AM","G111-hpoj8500 Group","CN=G111-hpoj8500 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"G111-hplj4050 Group","9/21/2009 2:10:54 PM","2/18/2021 9:29:06 AM","G111-hplj4050 Group","CN=G111-hplj4050 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g252f-bizhub200 Group","9/3/2008 3:02:54 PM","2/18/2021 9:29:06 AM","g252f-bizhub200","CN=g252f-bizhub200 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g280b-hp2430 Group","9/4/2020 1:35:57 PM","2/18/2021 9:29:06 AM","g280b-hp2430 Group","CN=g280b-hp2430 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"erma370-lex-c760 Group","1/22/2010 12:42:53 PM","2/18/2021 9:29:06 AM","erma370-lex-c760 Group","CN=erma370-lex-c760 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
