SamAccountName,extensionAttribute10
SDW13088-CP,Resource
SOD-1096-4,Resource
SOD-DGP-007,Resource
SOD-STC-ORCON,Resource
SOD-OS-BR,Resource
FISHBOWL02,Resource
SOD-ITS-DCR,Resource
SOD-1096-1,Resource
SOD-1096a,Resource
SOD-1095-09,Resource
SOD-1095-02,Resource
SOD-1096-11,Resource
SOD-1042J,Resource
SDL16003-EN,Resource
SDW18011,Resource
SDW2012001,Resource
SDL18011,Resource
arvalenzuela,StandardUser
and0034,StandardUser
kf0032,StandardUser
vrbovard,StandardUser
clt0027,StandardUser
tmoore18,StandardUser
acrivell,StandardUser
raengle,StandardUser
jlsnyder,StandardUser
gmanile,StandardUser
aaalshamali,StandardUser
nhdamarputra,StandardUser
tcquinones,StandardUser
mfletch9,StandardUser
cwhamilton,StandardUser
emm0028,StandardUser
dpm0021,StandardUser
srs0070,StandardUser
acblatt,StandardUser
gtc0005,StandardUser
tmlamp,StandardUser
aolusk,StandardUser
slbryner,StandardUser
bcc0023,StandardUser
bak0030,StandardUser
jsolensk,StandardUser
mmnugent,StandardUser
mkb0038,StandardUser
tpstanley,StandardUser
nchaudhr,StandardUser
ka0101,StandardUser
ha0096,StandardUser
nd0037,StandardUser
msivane1,StandardUser
dlmeadows,StandardUser
pap0017,StandardUser
gmwarner,StandardUser
prdurkin,StandardUser
cdl0023,StandardUser
mjd0055,StandardUser
kjp0012,StandardUser
mep0030,StandardUser
akhaddix,StandardUser
cdh0040,StandardUser
kyalansary,StandardUser
crkillmer,StandardUser
hya0002,StandardUser
tjs0060,StandardUser
smr0027,StandardUser
amv0015,StandardUser
kncummings,StandardUser
mlackey,StandardUser
alvavrick,StandardUser
cf0032,StandardUser
sww0004,StandardUser
hlc0016,StandardUser
anm0027,StandardUser
rab0038,StandardUser
sa0086,StandardUser
kms0002,StandardUser
cah0052,StandardUser
hnm0011,StandardUser
kjl0012,StandardUser
nm0042,StandardUser
anhott,StandardUser
zew0001,StandardUser
mlhoward,StandardUser
kcs0007,StandardUser
esgreen,StandardUser
kol0001,StandardUser
mls0010,StandardUser
verutherford,StandardUser
ant0002,StandardUser
pcwimmer,StandardUser
sshawk,StandardUser
abg0002,StandardUser
bms0006,StandardUser
mrfox,StandardUser
necampbell,StandardUser
tf0005,StandardUser
jrj0002,StandardUser
zyjohnson,StandardUser
ktr0003,StandardUser
mpd0001,StandardUser
erlongerbeam,StandardUser
hrn0001,StandardUser
mlmullenax,StandardUser
gmm0002,StandardUser
albauer,StandardUser
msf0013,StandardUser
mlwetzel,StandardUser
evstricklen,StandardUser
anwithrow,StandardUser
lebeardsley,StandardUser
mgfisher,StandardUser
hmvecchio,StandardUser
rcdewey,StandardUser
