"SamAccountName","SourceOU","TargetOU"
"Dept of Medicine Admin","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"ERAS-ID","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"$GERI","HSC/SOM/MED/GERI","HS Users/HSC/SOM/MED/GERI"
"SOMMedEveryone","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Accounting","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Budget","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"$GUEST","HSC/SOM/MED/GUEST","HS Users/HSC/SOM/MED/GUEST"
"MED Secretaries","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"$CARD","HSC/SOM/MED/CARD","HS Users/HSC/SOM/MED/CARD"
"$MEDMGMT","HSC/SOM/MED/MGMT","HS Users/HSC/SOM/MED/MGMT"
"MGP-Hospitalist RW Group","HSC/SOM/MED/MGP","HS Users/HSC/SOM/MED/MGP"
"MGP","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"$MGP","HSC/SOM/MED/MGP","HS Users/HSC/SOM/MED/MGP"
"MGP emm0056 chief app share","HSC/SOM/MED/MGP","HS Users/HSC/SOM/MED/MGP"
"MGP TCCT File Share Group","HSC/SOM/MED/MGP","HS Users/HSC/SOM/MED/MGP"
"MGP_WMP Share Group","HSC/SOM/MED/MGP","HS Users/HSC/SOM/MED/MGP"
"Weight Mgmt RW Group","HSC/SOM/MED/MGP","HS Users/HSC/SOM/MED/MGP"
"$SOMHEMONC","HSC/SOM/MED/HEMONC","HS Users/HSC/SOM/MED/HEMONC"
"$NEPH","HSC/SOM/MED/NEPH","HS Users/HSC/SOM/MED/NEPH"
"SOM MED Employee List Read Only","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"$SOMMGMT","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"HSC SOM MED Hospitalist Section","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"$MED","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"Quality Council Share","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"$FELLOWS","HSC/SOM/MED/FELLOWS","HS Users/HSC/SOM/MED/FELLOWS"
"$HMR","HSC/SOM/MED/HMR","HS Users/HSC/SOM/MED/HMR"
"$ICM","HSC/SOM/MED/ICM","HS Users/HSC/SOM/MED/ICM"
"$PA","HSC/SOM/MED/PA","HS Users/HSC/SOM/MED/PA"
"Rheumatology Share Group","HSC/SOM/MED/RHEUM","HS Users/HSC/SOM/MED/RHEUM"
"$RHEUM","HSC/SOM/MED/RHEUM","HS Users/HSC/SOM/MED/RHEUM"
"$SOMENDO","HSC/SOM/MED/ENDO","HS Users/HSC/SOM/MED/ENDO"
"Endocrinology Share Group","HSC/SOM/MED/ENDO","HS Users/HSC/SOM/MED/ENDO"
"$PULM","HSC/SOM/MED/PULM","HS Users/HSC/SOM/MED/PULM"
"Pulm-CCM Pres. & Board Rev Group","HSC/SOM/MED/PULM","HS Users/HSC/SOM/MED/PULM"
"Gastroenterology","HSC/SOM/MED/GI","HS Users/HSC/SOM/MED/GI"
"$GI","HSC/SOM/MED/GI","HS Users/HSC/SOM/MED/GI"
"HSC SOM MED Group Shares","HSC/SOM/MED","HS Users/HSC/SOM/MED"
"2204-lexmarkt630 Group","HSC/SOM/MED/BILLING","HS Users/HSC/SOM/MED/BILLING"
"$BILLING","HSC/SOM/MED/BILLING","HS Users/HSC/SOM/MED/BILLING"
"Public Research Read Write","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Public Research Read Only","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"BEHM","HSC/SOM","HS Users/HSC/SOM"
"Memory after Gammaknife Share Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
