UserDN,DirectoryPath
"OU=MGP,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\med\mgp\
"OU=MICRO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\bassci\micro\
"OU=NEPH,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\med\neph\
"OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\ITS\Network and Voice Services\
"OU=Network Infrastructure,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\ITS\Network and Voice Services\
"OU=Network Systems,OU=Network and Voice Services,OU=ITS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\ITS\Network and Voice Services\
"OU=NEURO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\neuro\
"OU=NEUSCI,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",NoHomeDirectory
"OU=NEUSUR,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\neusur\
"OU=OBGYN,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\OBGYN\
"OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\obgyn\
"OU=OD,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\OD\
"OU=OEHS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\OEHS\
"OU=OCCMED,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\occmed\
"OU=OEHS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\OEHS\
"OU=ORTHO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\ortho\
"OU=ORTHO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\ortho\
"OU=OS,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\os\
"OU=PATH,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\path\
"OU=PEDS,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\PEDS\
"OU=PEDS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\peds\
"OU=PERIO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\perio\
"OU=PHYSIO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\bassci\physio\
"OU=POISON,OU=SOP,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOP\POISON\
"OU=PRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\SPH\PRC\
"OU=RAD,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\rad\
"OU=RADONC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\RADONC\
"OU=RADSAF,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\radsaf\
"OU=RD,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\rd\
"OU=RESEARCH,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\RESEARCH\
"OU=RESLAB,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\RESLAB\
"OU=RURHEA,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\rurhea\
