"RenderingMode","PrinterStatus","Type","DeviceType","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","BranchOfficeOfflineLogSizeMB","Comment","ComputerName","Datatype","DefaultJobPriority","DisableBranchOfficeLogging","DriverName","JobCount","KeepPrintedJobs","Location","PermissionSDDL","PortName","PrintProcessor","Priority","Published","SeparatorPageFile","Shared","ShareName","StartTime","UntilTime","WorkflowPolicy","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-brni-110",,,,,,,"","HSPrint4","RAW","0",,"Xerox WorkCentre 7775 PCL6","0","False","",,"brni-110-xerox7665.hsc.wvu.edu","XeroxV5Print","1","False","","True","hs-brni-110","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-8707",,,,,,,"","HSPrint4","RAW","0",,"HP LaserJet 4250 PCL 6","0","False","",,"8707-hplj","HPCPP5r1","1","False","","True","hs-8707","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-7318",,,,,,,"","HSPrint4","RAW","0",,"RICOH Aficio MP C6000 PCL 6","0","False","",,"7318-ricoh","winprint","1","False","","True","hs-7318","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-4606",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"4632-hplj2200.hsc.wvu.edu","hpcpp160","1","False","","True","hs-4606","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-3302",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"3302-hpcm3530","hpcpp160","1","False","","True","hs-3302","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-3025",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"3025-hp4700.hsc.wvu.edu","hpcpp160","1","False","","True","hs-3025","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-3011",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"3011-hplj-m451dn","hpcpp160","1","False","","True","hs-3011","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-2251",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"2251-hpclj","hpcpp160","1","False","","True","hs-2251","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hs-1040",,,,,,,"","HSPrint4","RAW","0",,"Xerox Global Print Driver PCL6","0","False","",,"1040-xerox","XeroxV5Print","1","False","","True","hs-1040","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"hp5-crem-map",,,,,,,"","HSPrint4","RAW","0",,"HP Universal Printing PCL 6","0","False","",,"icrc-27-minolta-c3100p","hpcpp160","1","False","","True","hp5-crem-map","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"H-POC1-MRI-FrontB",,,,,,,"","HSPrint4","RAW","0",,"RICOH SP 4510DN PCL 6","0","False","",,"10.3.1.71","winprint","1","False","","True","H-POC1-MRI-FrontB","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"H-PAINC2-ADMIN",,,,,,,"","HSPrint4","RAW","0",,"RICOH MP C4504 PCL 6","0","False","",,"172.16.244.40","winprint","1","False","","True","H-PAINC2-ADMIN","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"H-HSCB-RAD-ADMIN",,,,,,,"","HSPrint4","RAW","0",,"RICOH MP C4503 PCL 6","0","False","",,"172.17.16.5","winprint","1","False","","True","H-HSCB-RAD-ADMIN","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
,"Normal","Local","Print",,,,,,,,,"H-HSC2-FM-RM2314",,,,,,,"","HSPrint4","RAW","0",,"RICOH MP C4504 PCL 6","0","False","",,"10.3.0.33","winprint","1","False","","True","H-HSC2-FM-RM2314","60","60",,,"ROOT/StandardCimv2:MSFT_Printer","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
